zone,borough,service_zone,trips,avg_fare,avg_tip,avg_distance,total_revenue
Bay Ridge,Brooklyn,Boro Zone,20842,33.75,1.26,6.78,798473.0
Inwood,Manhattan,Boro Zone,20463,23.09,1.56,4.75,551282.0
Maspeth,Queens,Boro Zone,20191,40.37,5.76,5.59,1041114.0
Rego Park,Queens,Boro Zone,19772,32.35,3.4,5.48,782871.0
Saint Michaels Cemetery/Woodside,Queens,Boro Zone,18920,10.96,1.18,1.33,265942.0
Corona,Queens,Boro Zone,18890,39.8,4.56,6.68,944671.0
Co-Op City,Bronx,Boro Zone,18560,38.64,0.25,8.91,790100.0
East Flatbush/Farragut,Brooklyn,Boro Zone,17843,27.17,0.24,5.02,521674.0
Crown Heights South,Brooklyn,Boro Zone,17565,23.64,0.57,4.32,451343.0
Saint Albans,Queens,Boro Zone,17398,35.81,0.19,7.86,672258.0
Soundview/Castle Hill,Bronx,Boro Zone,17343,29.51,0.52,6.23,579611.0
Ocean Hill,Brooklyn,Boro Zone,17037,28.08,0.52,5.34,520295.0
Elmhurst/Maspeth,Queens,Boro Zone,16949,21.82,1.99,3.62,446146.0
Gowanus,Brooklyn,Boro Zone,16747,17.52,1.77,3.43,357978.0
Sunset Park West,Brooklyn,Boro Zone,16632,27.11,1.82,5.21,523800.0
Bushwick North,Brooklyn,Boro Zone,15808,21.81,2.25,4.21,418006.0
University Heights/Morris Heights,Bronx,Boro Zone,15242,30.39,0.36,6.37,508683.0
Coney Island,Brooklyn,Boro Zone,15167,42.39,0.49,9.15,693099.0
Springfield Gardens North,Queens,Boro Zone,14742,34.46,0.38,7.2,551335.0
Van Nest/Morris Park,Bronx,Boro Zone,14032,27.68,0.4,5.16,433009.0
Flushing,Queens,Boro Zone,13710,30.5,1.43,5.77,479614.0
Midwood,Brooklyn,Boro Zone,13527,26.46,0.44,4.78,389984.0
Borough Park,Brooklyn,Boro Zone,13507,25.54,0.47,4.51,377983.0
Williamsbridge/Olinville,Bronx,Boro Zone,13445,34.72,0.31,7.79,513282.0
Highbridge,Bronx,Boro Zone,13208,27.02,0.93,5.21,402722.0
Randalls Island,Manhattan,Yellow Zone,13172,41.67,6.96,5.77,745893.0
Queens Village,Queens,Boro Zone,13052,39.59,0.44,8.76,564738.0
Starrett City,Brooklyn,Boro Zone,12945,34.61,0.27,6.74,480581.0
Marine Park/Mill Basin,Brooklyn,Boro Zone,12585,34.98,0.69,6.54,482000.0
Sheepshead Bay,Brooklyn,Boro Zone,12361,37.4,0.32,8.32,498745.0
Morrisania/Melrose,Bronx,Boro Zone,12345,25.07,0.52,4.6,346056.0
Kew Gardens Hills,Queens,Boro Zone,12339,33.71,0.83,7.75,469362.0
South Williamsburg,Brooklyn,Boro Zone,11598,18.24,1.34,3.28,248524.0
Mount Hope,Bronx,Boro Zone,11464,27.01,0.35,5.21,341200.0
Erasmus,Brooklyn,Boro Zone,11431,26.22,0.46,4.93,327011.0
Parkchester,Bronx,Boro Zone,11210,29.2,0.29,6.22,364484.0
East Tremont,Bronx,Boro Zone,10983,28.31,0.36,5.69,347291.0
Kingsbridge Heights,Bronx,Boro Zone,10790,31.85,0.53,6.39,380594.0
Spuyten Duyvil/Kingsbridge,Bronx,Boro Zone,10689,26.95,0.95,5.45,326435.0
Kensington,Brooklyn,Boro Zone,10412,24.41,1.42,4.4,292831.0
Claremont/Bathgate,Bronx,Boro Zone,10153,27.29,0.39,5.32,306221.0
East New York/Pennsylvania Avenue,Brooklyn,Boro Zone,10097,30.02,0.21,5.82,326962.0
Roosevelt Island,Manhattan,Boro Zone,9895,25.4,2.76,3.97,304682.0
Bensonhurst West,Brooklyn,Boro Zone,9879,31.0,0.52,6.27,337783.0
Far Rockaway,Queens,Boro Zone,9816,51.09,0.31,13.18,538964.0
Hammels/Arverne,Queens,Boro Zone,9527,49.89,0.29,12.19,520334.0
Norwood,Bronx,Boro Zone,9271,31.25,0.45,6.56,320515.0
Van Cortlandt Village,Bronx,Boro Zone,9257,31.69,0.6,6.46,323897.0
Hillcrest/Pomonok,Queens,Boro Zone,9209,29.13,0.86,5.9,300121.0
Homecrest,Brooklyn,Boro Zone,8680,26.71,0.43,5.01,252784.0
Bedford Park,Bronx,Boro Zone,8632,30.55,0.49,6.34,291494.0
Rosedale,Queens,Boro Zone,8377,42.16,1.12,9.13,386876.0
Ridgewood,Queens,Boro Zone,8313,24.77,1.6,4.13,238364.0
Jamaica Estates,Queens,Boro Zone,8264,31.76,0.51,6.24,289153.0
Cypress Hills,Brooklyn,Boro Zone,8255,31.18,1.14,5.63,287429.0
West Farms/Bronx River,Bronx,Boro Zone,8172,33.72,0.63,7.77,306759.0
Brighton Beach,Brooklyn,Boro Zone,8158,37.95,0.9,7.79,341131.0
Madison,Brooklyn,Boro Zone,7876,32.41,0.47,7.52,278142.0
Laurelton,Queens,Boro Zone,7528,39.64,0.36,8.73,322184.0
Howard Beach,Queens,Boro Zone,7505,43.55,3.24,7.96,375982.0
Woodhaven,Queens,Boro Zone,7448,30.68,0.91,5.67,256346.0
Westchester Village/Unionport,Bronx,Boro Zone,7365,26.99,0.69,5.39,225486.0
Cambria Heights,Queens,Boro Zone,7241,43.14,0.96,9.87,340643.0
Eastchester,Bronx,Boro Zone,7187,37.64,0.28,8.61,297578.0
Bensonhurst East,Brooklyn,Boro Zone,7169,30.16,0.52,5.98,237508.0
Schuylerville/Edgewater Park,Bronx,Boro Zone,7083,33.38,1.02,6.81,272669.0
Soundview/Bruckner,Bronx,Boro Zone,6929,26.17,0.6,5.14,204071.0
North Corona,Queens,Boro Zone,6795,22.63,1.0,4.5,177346.0
Windsor Terrace,Brooklyn,Boro Zone,6718,25.25,2.02,4.65,200825.0
Pelham Parkway,Bronx,Boro Zone,6637,27.56,0.5,5.12,202862.0
Bronxdale,Bronx,Boro Zone,6634,32.9,0.32,7.06,241486.0
Prospect Park,Brooklyn,Boro Zone,6596,19.03,2.28,3.89,153322.0
Gravesend,Brooklyn,Boro Zone,6441,38.06,0.9,8.42,268803.0
Woodlawn/Wakefield,Bronx,Boro Zone,6355,37.45,0.6,8.12,261638.0
Hunts Point,Bronx,Boro Zone,6200,28.18,0.74,5.58,197655.0
Riverdale/North Riverdale/Fieldston,Bronx,Boro Zone,6159,37.06,1.32,8.09,259357.0
Sunset Park East,Brooklyn,Boro Zone,6112,29.46,1.01,5.39,199505.0
Middle Village,Queens,Boro Zone,5989,34.77,3.26,5.41,246706.0
Longwood,Bronx,Boro Zone,5897,27.51,0.36,5.51,182410.0
Crotona Park East,Bronx,Boro Zone,5703,28.28,0.3,5.75,179051.0
Belmont,Bronx,Boro Zone,5465,29.65,0.79,5.87,181891.0
Murray Hill-Queens,Queens,Boro Zone,5235,34.63,0.93,7.04,209527.0
Allerton/Pelham Gardens,Bronx,Boro Zone,5176,33.26,0.76,7.31,192252.0
Columbia Street,Brooklyn,Boro Zone,5102,20.65,2.91,4.31,134337.0
Brooklyn Navy Yard,Brooklyn,Boro Zone,5060,19.41,2.83,3.87,125683.0
Fordham South,Bronx,Boro Zone,4941,27.14,0.38,5.35,148089.0
Bellerose,Queens,Boro Zone,4933,35.83,1.14,6.27,194290.0
Bayside,Queens,Boro Zone,4839,33.63,1.03,6.75,178693.0
Ozone Park,Queens,Boro Zone,4747,41.21,2.65,5.94,222351.0
Dyker Heights,Brooklyn,Boro Zone,4732,30.75,1.17,5.94,166361.0
Glendale,Queens,Boro Zone,4691,27.85,1.16,4.7,147073.0
Glen Oaks,Queens,Boro Zone,4681,38.96,1.22,8.66,200977.0
Douglaston,Queens,Boro Zone,4388,39.84,1.29,9.18,196810.0
Hollis,Queens,Boro Zone,4195,35.22,0.32,6.56,161044.0
College Point,Queens,Boro Zone,4127,35.43,1.85,7.34,169217.0
Bath Beach,Brooklyn,Boro Zone,4041,37.92,1.08,8.01,169450.0
Pelham Bay,Bronx,Boro Zone,3989,35.08,0.71,8.34,159020.0
Manhattan Beach,Brooklyn,Boro Zone,3945,37.78,1.29,7.61,164857.0
Fresh Meadows,Queens,Boro Zone,3927,31.68,1.1,6.01,138306.0
Whitestone,Queens,Boro Zone,3831,37.1,2.12,6.75,164027.0
Queensboro Hill,Queens,Boro Zone,3573,28.37,1.21,5.98,113358.0
Marble Hill,Manhattan,Boro Zone,3471,22.86,0.54,4.96,88112.0
Bloomfield/Emerson Hill,Staten Island,Boro Zone,3370,59.75,1.04,15.85,234724.0
Ocean Parkway South,Brooklyn,Boro Zone,3243,25.52,0.64,4.64,91746.0
Charleston/Tottenville,Staten Island,Boro Zone,3234,82.33,0.86,28.5,295579.0
Auburndale,Queens,Boro Zone,3209,27.89,0.91,5.19,98843.0
Oakland Gardens,Queens,Boro Zone,3034,33.69,1.32,6.9,113602.0
Bay Terrace/Fort Totten,Queens,Boro Zone,2992,34.19,0.92,6.95,114261.0
Rockaway Park,Queens,Boro Zone,2758,47.61,1.16,10.12,146140.0
Astoria Park,Queens,Boro Zone,2226,40.56,6.64,5.62,120364.0
Marine Park/Floyd Bennett Field,Brooklyn,Boro Zone,1956,40.14,4.17,8.24,95707.0
Inwood Hill Park,Manhattan,Boro Zone,1755,25.45,1.61,4.35,52038.0
East Flushing,Queens,Boro Zone,1719,30.69,1.21,5.47,59193.0
Arrochar/Fort Wadsworth,Staten Island,Boro Zone,1526,13.37,1.74,4.33,44408.0
Arden Heights,Staten Island,Boro Zone,1513,68.71,0.44,15.89,132263.0
Bronx Park,Bronx,Boro Zone,1473,32.3,3.15,6.68,57158.0
Highbridge Park,Manhattan,Boro Zone,1460,35.22,3.54,5.31,62275.0
Van Cortlandt Park,Bronx,Boro Zone,1215,34.31,1.49,6.33,47001.0
Forest Park/Highland Park,Queens,Boro Zone,1063,33.28,2.39,4.21,41178.0
Heartland Village/Todt Hill,Staten Island,Boro Zone,947,56.12,1.91,15.21,59804.0
City Island,Bronx,Boro Zone,873,41.41,1.13,8.21,40092.0
Willets Point,Queens,Boro Zone,847,46.55,5.55,9.41,48151.0
Grymes Hill/Clifton,Staten Island,Boro Zone,626,50.36,2.28,12.04,37783.0
South Beach/Dongan Hills,Staten Island,Boro Zone,569,47.57,4.56,9.85,33840.0
Pelham Bay Park,Bronx,Boro Zone,569,41.73,2.71,7.44,27285.0
Country Club,Bronx,Boro Zone,525,33.22,4.06,6.6,21533.0
Saint George/New Brighton,Staten Island,Boro Zone,491,50.1,2.51,8.61,29561.0
Mariners Harbor,Staten Island,Boro Zone,476,55.67,3.46,11.58,32064.0
Stapleton,Staten Island,Boro Zone,414,44.65,4.18,7.74,23035.0
Crotona Park,Bronx,Boro Zone,322,30.19,0.62,6.3,11021.0
Westerleigh,Staten Island,Boro Zone,310,56.57,5.85,9.37,21243.0
Green-Wood Cemetery,Brooklyn,Boro Zone,309,24.7,2.75,3.72,9257.0
Jamaica Bay,Queens,Boro Zone,255,43.28,5.82,11.73,13827.0
Breezy Point/Fort Tilden/Riis Beach,Queens,Boro Zone,254,40.15,1.68,6.03,11477.0
Broad Channel,Queens,Boro Zone,254,27.72,1.14,3.81,8132.0
Great Kills,Staten Island,Boro Zone,232,59.14,3.25,9.56,16159.0
New Dorp/Midland Beach,Staten Island,Boro Zone,225,47.16,4.78,10.16,13174.0
Port Richmond,Staten Island,Boro Zone,185,52.01,3.04,10.01,11741.0
Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,171,17.42,2.83,4.5,4040.0
Freshkills Park,Staten Island,Boro Zone,167,72.91,2.1,23.86,13433.0
West Brighton,Staten Island,Boro Zone,164,50.3,4.53,9.28,9806.0
Eltingville/Annadale/Prince's Bay,Staten Island,Boro Zone,163,67.8,3.25,12.29,12734.0
Rossville/Woodrow,Staten Island,Boro Zone,161,85.58,5.16,17.48,15610.0
Rikers Island,Bronx,Boro Zone,89,33.22,5.07,8.79,4071.0
Oakwood,Staten Island,Boro Zone,88,48.74,7.61,7.59,5550.0
Great Kills Park,Staten Island,Boro Zone,2,47.25,0.0,15.58,104.0
